epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.58827,1.11146,6.43433,1.04818,0.34328,0.71176,0.47494,0.3518,0.88708,3.73485,0.93588,0.000115381,0.000115381,0.000115381
2,15.1051,0.80173,2.46612,0.91246,0.72427,0.86563,0.9062,0.69285,0.84774,1.31122,0.91488,0.000232975,0.000232975,0.000232975
3,21.1665,0.7898,1.59366,0.9202,0.92624,0.96802,0.97308,0.77362,0.80347,1.14947,0.915,0.000350543,0.000350543,0.000350543
4,27.5508,0.7716,1.33819,0.90809,0.93755,0.90822,0.96201,0.74263,0.83601,1.06695,0.91243,0.000468066,0.000468066,0.000468066
5,33.2219,0.74638,1.20058,0.90438,0.91947,0.97231,0.995,0.79996,0.76116,0.98552,0.88199,0.000585526,0.000585526,0.000585526
6,38.9697,0.77911,1.0918,0.90931,0.96494,0.89518,0.92067,0.72282,0.82309,0.99475,0.89764,0.000587599,0.000587599,0.000587599
7,44.5786,0.75533,1.01105,0.90054,0.94915,0.99297,0.995,0.7574,0.86021,0.90357,0.89996,0.000587423,0.000587423,0.000587423
8,50.1132,0.72668,0.88488,0.88618,0.94772,0.94651,0.995,0.80557,0.79565,0.8618,0.89184,0.000587214,0.000587214,0.000587214
9,56.1309,0.72325,0.85958,0.88832,0.96696,0.97203,0.995,0.79757,0.76644,0.83238,0.88451,0.000586974,0.000586974,0.000586974
10,61.6837,0.73509,0.81943,0.88559,0.93447,0.97272,0.995,0.77994,0.84668,0.82183,0.89865,0.000586702,0.000586702,0.000586702
11,67.3256,0.71388,0.77267,0.88717,0.93519,0.96033,0.995,0.78673,0.76245,0.74882,0.8785,0.000586397,0.000586397,0.000586397
12,72.8491,0.69128,0.73019,0.87915,0.96047,0.94852,0.995,0.78175,0.78453,0.7665,0.88586,0.000586061,0.000586061,0.000586061
13,78.4297,0.68492,0.71281,0.87349,0.85737,0.97247,0.995,0.79085,0.75305,0.72557,0.86837,0.000585693,0.000585693,0.000585693
14,84.0211,0.69411,0.68387,0.88099,0.97836,0.98893,0.995,0.80021,0.79971,0.73962,0.88312,0.000585293,0.000585293,0.000585293
15,89.6474,0.68157,0.69414,0.87494,0.8603,0.99886,0.995,0.79086,0.76333,0.7491,0.86944,0.000584862,0.000584862,0.000584862
16,95.1888,0.67686,0.67635,0.87636,0.96523,0.98909,0.995,0.78806,0.79841,0.7599,0.88657,0.000584398,0.000584398,0.000584398
17,100.723,0.65575,0.65173,0.86869,0.97006,0.91074,0.995,0.80667,0.74321,0.71323,0.87196,0.000583903,0.000583903,0.000583903
18,106.453,0.67251,0.654,0.87812,0.97226,0.98559,0.995,0.79478,0.77899,0.70319,0.87772,0.000583377,0.000583377,0.000583377
19,112.208,0.66023,0.65392,0.87041,0.9607,0.98793,0.995,0.78706,0.76668,0.69394,0.87793,0.000582818,0.000582818,0.000582818
20,117.739,0.64901,0.63235,0.87039,0.96813,0.99991,0.995,0.77332,0.79883,0.68024,0.88481,0.000582229,0.000582229,0.000582229
21,123.289,0.64151,0.65732,0.86535,0.94448,0.98612,0.995,0.79856,0.78538,0.71316,0.8814,0.000581608,0.000581608,0.000581608
22,128.99,0.63071,0.63544,0.84941,0.95008,0.98944,0.995,0.78167,0.76681,0.64685,0.88126,0.000580955,0.000580955,0.000580955
23,134.501,0.60863,0.60981,0.84457,0.9641,0.9944,0.995,0.78512,0.78757,0.69328,0.88162,0.000580271,0.000580271,0.000580271
24,140.492,0.58924,0.59175,0.8439,0.97952,0.98166,0.995,0.79435,0.77584,0.6942,0.88016,0.000579556,0.000579556,0.000579556
25,146.133,0.59408,0.58794,0.84877,0.95655,0.97808,0.995,0.79252,0.73591,0.64152,0.86628,0.00057881,0.00057881,0.00057881
26,151.8,0.61386,0.59282,0.86001,0.97181,0.98681,0.995,0.80279,0.73484,0.64387,0.86536,0.000578032,0.000578032,0.000578032
27,157.252,0.65527,0.62602,0.86718,0.96571,0.99022,0.995,0.78274,0.88146,0.71542,0.91452,0.000577224,0.000577224,0.000577224
28,162.904,0.6482,0.61855,0.8649,0.9743,0.93961,0.99498,0.79823,0.7629,0.7109,0.8709,0.000576385,0.000576385,0.000576385
29,168.335,0.62422,0.62225,0.8603,0.97725,0.99109,0.995,0.77992,0.742,0.67387,0.86272,0.000575515,0.000575515,0.000575515
30,174.053,0.60309,0.61606,0.85279,0.96966,0.98566,0.995,0.79183,0.76679,0.68985,0.86899,0.000574614,0.000574614,0.000574614
31,179.609,0.56538,0.57636,0.84383,0.95658,0.97362,0.995,0.79325,0.72335,0.64664,0.86955,0.000573683,0.000573683,0.000573683
32,185.329,0.55101,0.57374,0.8477,0.96017,0.97326,0.995,0.79344,0.79362,0.69993,0.88245,0.000572721,0.000572721,0.000572721
