epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.69125,1.14163,6.89031,1.06344,0.67625,0.31589,0.4311,0.29068,0.89737,4.06216,0.94724,0.000114865,0.000114865,0.000114865
2,14.9811,0.86292,2.97385,0.94283,0.54477,0.95868,0.89233,0.63535,0.88091,1.85736,0.92505,0.000232459,0.000232459,0.000232459
3,19.9842,0.8745,2.01531,0.9543,0.93119,0.92664,0.99331,0.78609,0.78012,1.19481,0.90251,0.000350027,0.000350027,0.000350027
4,25.058,0.78364,1.58131,0.91157,0.85127,0.92126,0.98485,0.78662,0.79366,1.10245,0.88865,0.00046755,0.00046755,0.00046755
5,32.4241,0.82607,1.37495,0.91242,0.94205,0.9765,0.995,0.79845,0.78969,0.88775,0.89591,0.00058501,0.00058501,0.00058501
6,37.3296,0.76577,1.18494,0.90765,0.91249,0.95392,0.995,0.79033,0.75351,0.87376,0.88903,0.000587599,0.000587599,0.000587599
7,42.4016,0.75805,1.03737,0.90932,0.9445,0.91386,0.995,0.79796,0.7289,0.8009,0.87603,0.000587423,0.000587423,0.000587423
8,47.2603,0.74844,0.99655,0.89656,0.94872,1,0.995,0.79241,0.76746,0.77862,0.88309,0.000587214,0.000587214,0.000587214
9,52.0431,0.7596,0.93266,0.90297,0.9492,0.89465,0.995,0.79584,0.74057,0.82414,0.88308,0.000586974,0.000586974,0.000586974
10,56.8928,0.71228,0.8682,0.88372,0.93582,0.98534,0.995,0.79029,0.74989,0.70694,0.8813,0.000586702,0.000586702,0.000586702
11,61.7082,0.7457,0.83424,0.89138,0.97467,0.98454,0.995,0.77757,0.77302,0.68811,0.89893,0.000586397,0.000586397,0.000586397
12,68.4218,0.7249,0.83781,0.89328,0.91243,0.94544,0.995,0.77861,0.79347,0.85759,0.89567,0.000586061,0.000586061,0.000586061
13,74.1773,0.69483,0.79605,0.88574,0.92207,1,0.995,0.78507,0.73691,0.69814,0.88151,0.000585693,0.000585693,0.000585693
14,80.1604,0.67742,0.74183,0.87446,0.96734,0.99244,0.995,0.78586,0.73831,0.68567,0.87839,0.000585293,0.000585293,0.000585293
15,85.2643,0.68929,0.73495,0.88285,0.96263,0.97842,0.995,0.78865,0.73787,0.68821,0.879,0.000584862,0.000584862,0.000584862
16,90.2648,0.66819,0.70413,0.873,0.95811,1,0.995,0.78744,0.74969,0.69409,0.88423,0.000584398,0.000584398,0.000584398
17,95.16,0.66647,0.70377,0.86712,0.96399,0.99313,0.995,0.78067,0.74568,0.68375,0.87903,0.000583903,0.000583903,0.000583903
18,100.181,0.6514,0.69185,0.8674,0.95916,0.99492,0.995,0.76976,0.77939,0.68915,0.88831,0.000583377,0.000583377,0.000583377
19,105.32,0.67413,0.70164,0.8671,0.96843,0.99507,0.995,0.77658,0.76999,0.70689,0.88946,0.000582818,0.000582818,0.000582818
20,110.471,0.64589,0.6859,0.87259,0.94733,1,0.995,0.77607,0.76264,0.67486,0.88986,0.000582229,0.000582229,0.000582229
