epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.19279,1.13671,0.74782,1.24224,0.98989,1,0.995,0.68836,1.11527,0.60238,1.20239,0.00010003,0.00010003,0.00010003
2,6.68126,1.02101,0.65017,1.05404,0.99058,1,0.995,0.64005,1.14858,0.62273,1.20252,0.000211697,0.000211697,0.000211697
3,9.0557,0.9939,0.73155,1.09082,0.99077,1,0.995,0.68341,1.12605,0.58232,1.17053,0.000320535,0.000320535,0.000320535
4,11.3355,1.08553,0.68817,1.14306,0.99022,1,0.995,0.62712,1.23588,0.62186,1.27301,0.000426544,0.000426544,0.000426544
5,13.5209,1.05478,0.69057,1.12624,0.98546,1,0.995,0.68128,1.0828,0.64216,1.14914,0.000529723,0.000529723,0.000529723
6,15.7059,1.17946,0.77076,1.16979,0.98727,1,0.995,0.6152,1.12534,0.68446,1.17782,0.000630073,0.000630073,0.000630073
7,17.8656,0.95784,0.69494,1.01912,0.98988,1,0.995,0.64685,1.19042,0.64049,1.20156,0.000727593,0.000727593,0.000727593
8,20.0231,1.02926,0.69043,1.08685,0.9943,1,0.995,0.67586,1.11498,0.59449,1.14463,0.000822284,0.000822284,0.000822284
9,22.1733,1.13435,0.71974,1.17916,0.97617,0.99537,0.995,0.58542,1.30066,0.74645,1.25905,0.000914146,0.000914146,0.000914146
10,24.3067,1.0197,0.75898,1.12488,0.96398,1,0.995,0.57821,1.25826,0.81414,1.2404,0.00100318,0.00100318,0.00100318
11,26.5082,1.10738,0.72576,1.04902,0.97526,1,0.995,0.61789,1.30303,0.73069,1.26319,0.00108938,0.00108938,0.00108938
12,28.7291,1.09865,0.71722,1.08557,0.98256,1,0.995,0.63558,1.19015,0.67297,1.20921,0.00117275,0.00117275,0.00117275
13,30.8529,1.00528,0.73561,1.06007,0.9732,1,0.995,0.62768,1.15177,0.7059,1.18175,0.00121679,0.00121679,0.00121679
14,33.0039,1.01436,0.70569,1.03036,0.82606,0.90909,0.93787,0.44562,1.5013,0.96994,1.41613,0.00119911,0.00119911,0.00119911
15,35.1651,1.04128,0.81227,1.08625,0.73959,0.98558,0.88996,0.43916,1.47419,0.97334,1.40825,0.00118143,0.00118143,0.00118143
16,36.9118,0.98312,0.69328,1.01338,0.98189,1,0.995,0.63316,1.10795,0.65504,1.1523,0.00116374,0.00116374,0.00116374
17,38.5751,1.06785,0.7016,1.07931,0.98741,1,0.995,0.59125,1.2628,0.62921,1.21668,0.00114606,0.00114606,0.00114606
18,40.2449,1.08569,0.70112,1.10888,0.97755,1,0.995,0.6369,1.26535,0.6259,1.2415,0.00112837,0.00112837,0.00112837
19,41.9228,1.08464,0.74637,1.12397,0.98314,1,0.995,0.71379,1.19347,0.58783,1.20262,0.00111069,0.00111069,0.00111069
20,43.8752,1.04571,0.73965,1.13404,0.97427,1,0.995,0.72239,1.14081,0.58897,1.16908,0.00109301,0.00109301,0.00109301
21,46.0479,1.08919,0.66925,1.0714,0.91042,0.90447,0.98115,0.55086,1.61344,0.89738,1.44598,0.00107532,0.00107532,0.00107532
22,48.1552,1.08682,0.65086,1.06634,0.02381,0.04545,0.01299,0.0026,3.0248,4.32784,2.15413,0.00105764,0.00105764,0.00105764
23,50.3045,1.12741,0.707,1.11968,0.96575,0.79557,0.97912,0.46769,1.90528,1.35867,1.61912,0.00103995,0.00103995,0.00103995
24,52.4425,1.05048,0.64762,1.09056,0.98177,1,0.995,0.67326,1.17751,0.55091,1.19548,0.00102227,0.00102227,0.00102227
25,54.6218,0.98332,0.61044,1.0402,0.98321,1,0.995,0.6801,1.12085,0.55682,1.1872,0.00100459,0.00100459,0.00100459
26,56.6718,0.99654,0.62626,1.06472,0.98957,1,0.995,0.65576,1.14108,0.57323,1.16453,0.000986903,0.000986903,0.000986903
27,58.7863,0.89311,0.61325,1.02508,0.98915,1,0.995,0.68812,1.12079,0.57515,1.14729,0.000969219,0.000969219,0.000969219
28,60.8769,0.98739,0.62467,1.04049,0.96783,1,0.995,0.66764,1.09716,0.61698,1.14957,0.000951535,0.000951535,0.000951535
29,62.99,0.99428,0.63397,1.05985,0.69165,1,0.995,0.6801,1.05169,0.85528,1.13733,0.000933851,0.000933851,0.000933851
30,65.0938,1.03266,0.63848,1.05873,0.67135,1,0.974,0.63381,1.1644,0.94126,1.18304,0.000916168,0.000916168,0.000916168
31,67.209,0.94056,0.59284,1.04627,0.90335,1,0.995,0.61256,1.1935,0.81234,1.1827,0.000898484,0.000898484,0.000898484
32,69.2992,0.95288,0.56806,1.0455,0.96381,1,0.995,0.63874,1.12662,0.7336,1.15958,0.0008808,0.0008808,0.0008808
33,71.443,1.01601,0.5886,1.06181,0.97183,1,0.995,0.69217,1.07662,0.60575,1.12263,0.000863116,0.000863116,0.000863116
34,73.571,0.97121,0.59524,1.07186,0.98489,1,0.995,0.70617,1.10381,0.52399,1.13613,0.000845432,0.000845432,0.000845432
35,75.7318,0.96509,0.55765,1.03486,0.98115,1,0.995,0.64042,1.23057,0.55892,1.20275,0.000827748,0.000827748,0.000827748
36,77.924,1.00343,0.60362,1.0636,0.97928,1,0.995,0.62769,1.22359,0.60904,1.19753,0.000810064,0.000810064,0.000810064
37,80.0478,0.85033,0.52152,0.93416,0.98519,1,0.995,0.70328,1.0961,0.53549,1.13759,0.00079238,0.00079238,0.00079238
38,82.2078,0.90373,0.54625,0.96716,0.98745,1,0.995,0.69032,1.02286,0.49249,1.09229,0.000774697,0.000774697,0.000774697
39,84.3376,0.97136,0.57067,1.02729,0.97582,1,0.995,0.70029,1.00248,0.51239,1.09766,0.000757013,0.000757013,0.000757013
40,86.471,0.93574,0.587,1.0706,0.96204,1,0.995,0.67295,1.02046,0.58262,1.11113,0.000739329,0.000739329,0.000739329
41,88.613,0.95904,0.59196,1.04266,0.9816,1,0.995,0.674,1.07772,0.52333,1.12866,0.000721645,0.000721645,0.000721645
42,90.717,0.92666,0.54111,1.07322,0.99218,1,0.995,0.67459,1.1177,0.4874,1.16095,0.000703961,0.000703961,0.000703961
43,92.8146,1.02158,0.58894,1.13152,0.99277,1,0.995,0.67653,1.10123,0.48934,1.14211,0.000686277,0.000686277,0.000686277
44,94.9559,0.90188,0.54111,0.99412,0.99239,1,0.995,0.66201,1.10012,0.51277,1.14157,0.000668593,0.000668593,0.000668593
45,97.0674,1.03937,0.57949,1.0437,0.99221,1,0.995,0.66401,1.12779,0.49558,1.16289,0.000650909,0.000650909,0.000650909
46,99.1314,0.96339,0.55544,1.01218,0.98297,1,0.995,0.67425,1.10111,0.49765,1.16137,0.000633226,0.000633226,0.000633226
47,101.245,0.82676,0.52409,0.98167,0.98206,1,0.995,0.67378,1.14093,0.55308,1.19379,0.000615542,0.000615542,0.000615542
48,103.345,0.8879,0.55268,0.99152,0.9816,1,0.995,0.7198,1.09187,0.51069,1.15609,0.000597858,0.000597858,0.000597858
49,105.408,1.06926,0.60374,1.12996,0.99059,1,0.995,0.73076,1.02947,0.49154,1.11198,0.000580174,0.000580174,0.000580174
50,107.592,0.90344,0.52818,1.04758,0.98927,1,0.995,0.74232,0.99286,0.49075,1.08605,0.00056249,0.00056249,0.00056249
51,109.682,0.92114,0.53323,1.01654,0.98912,1,0.995,0.70458,1.08923,0.48641,1.13413,0.000544806,0.000544806,0.000544806
