epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71429,1.48481,0.91617,1.62042,0.83116,0.85556,0.8395,0.48407,2.0063,0.92536,1.9866,0.0001429,0.0001429,0.0001429
2,4.61066,1.55674,0.9817,1.43229,0.8236,0.88591,0.83847,0.47791,2.06759,0.95031,2.02441,0.000290187,0.000290187,0.000290187
3,6.41494,1.36142,0.96058,1.33945,0.86441,0.88889,0.83431,0.52299,2.01023,1.08029,1.9817,0.0004271,0.0004271,0.0004271
4,8.16388,1.3059,1.03357,1.28333,0.78471,0.86324,0.84804,0.53031,1.86283,1.08444,1.82913,0.000553637,0.000553637,0.000553637
5,9.90592,1.24954,1.03456,1.25267,0.7151,0.85859,0.80926,0.49974,1.75106,1.14546,1.65052,0.000669801,0.000669801,0.000669801
6,11.6014,1.20265,0.97568,1.18467,0.73747,0.85859,0.8103,0.50536,1.60879,1.20984,1.55325,0.00077559,0.00077559,0.00077559
7,13.2684,1.1751,1.03835,1.21525,0.73109,0.85859,0.81396,0.49695,1.48493,1.18265,1.48059,0.000871004,0.000871004,0.000871004
8,14.9365,1.10895,0.94219,1.14097,0.72956,0.85859,0.83139,0.50735,1.44347,1.3307,1.40894,0.000956044,0.000956044,0.000956044
9,16.5576,1.11536,0.93605,1.15344,0.7513,0.8564,0.81679,0.48982,1.50168,1.25868,1.44704,0.00103071,0.00103071,0.00103071
10,18.2819,1.21358,0.9407,1.1819,0.74244,0.90771,0.82217,0.48958,1.43901,1.18644,1.40138,0.00100459,0.00100459,0.00100459
11,20.0381,1.06612,0.93999,1.14637,0.75818,0.82222,0.79852,0.47677,1.5488,1.09772,1.47811,0.00095743,0.00095743,0.00095743
12,21.7101,1.10292,0.91624,1.15209,0.802,0.96296,0.91638,0.53046,1.29323,1.08362,1.2888,0.000910273,0.000910273,0.000910273
13,23.4021,1.18558,0.87314,1.151,0.75085,0.88889,0.8021,0.52996,1.2809,1.10996,1.30805,0.000863116,0.000863116,0.000863116
14,25.1484,1.0637,0.86093,1.09582,0.73576,0.89556,0.84589,0.50355,1.52977,1.22609,1.48013,0.000815959,0.000815959,0.000815959
15,26.8784,1.03656,0.86599,1.1383,0.7203,0.88889,0.83484,0.52727,1.47975,1.20284,1.43955,0.000768802,0.000768802,0.000768802
16,28.6113,1.12023,0.77895,1.11034,0.74119,0.88889,0.83824,0.53616,1.35935,1.17542,1.34259,0.000721645,0.000721645,0.000721645
17,30.236,1.00602,0.79553,1.08873,0.76139,0.88889,0.83,0.53339,1.42398,1.22012,1.38166,0.000674488,0.000674488,0.000674488
18,31.9623,0.97176,0.77872,1.06787,0.78425,0.88889,0.86113,0.56016,1.42889,1.18991,1.38731,0.000627331,0.000627331,0.000627331
19,33.8129,0.95879,0.72777,1.04912,0.79784,0.88889,0.87801,0.56995,1.35837,1.14708,1.33018,0.000580174,0.000580174,0.000580174
20,35.5482,0.93048,0.72724,1.05691,0.8384,0.93153,0.90854,0.58325,1.33837,0.99638,1.3142,0.000533017,0.000533017,0.000533017
21,42.1661,1.04178,0.74186,1.11063,0.78454,0.89443,0.87184,0.57094,1.44555,0.94433,1.39167,0.00048586,0.00048586,0.00048586
22,43.8382,0.92372,0.69962,1.07734,0.80326,0.88889,0.89255,0.55952,1.59909,0.89885,1.50946,0.000438703,0.000438703,0.000438703
23,45.5321,0.966,0.72288,1.10449,0.87006,0.88889,0.90508,0.53964,1.75345,0.88408,1.64715,0.000391546,0.000391546,0.000391546
24,47.1623,0.92696,0.67979,1.05975,0.87559,0.88889,0.90394,0.55179,1.69445,0.89354,1.60597,0.000344389,0.000344389,0.000344389
25,48.7919,0.9227,0.67963,1.0292,0.87302,0.88889,0.89328,0.5418,1.70183,0.89143,1.62533,0.000297232,0.000297232,0.000297232
26,50.5241,0.96985,0.69454,1.07055,0.87306,0.88889,0.89405,0.55025,1.67436,0.8357,1.60955,0.000250075,0.000250075,0.000250075
27,52.1749,0.89118,0.62634,1.03752,0.8745,0.88889,0.89206,0.53687,1.7502,0.83664,1.6724,0.000202918,0.000202918,0.000202918
28,53.9032,0.88652,0.61557,0.99153,0.87566,0.88889,0.89328,0.53505,1.82097,0.85138,1.75474,0.000155761,0.000155761,0.000155761
29,55.573,0.89523,0.6259,1.0379,0.87635,0.88889,0.88397,0.53393,1.87132,0.85702,1.81068,0.000108604,0.000108604,0.000108604
30,57.2322,0.8748,0.636,1.04034,0.8773,0.88889,0.89328,0.54082,1.83078,0.83802,1.77389,6.1447e-05,6.1447e-05,6.1447e-05
