epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6015,1.16842,29.4766,1.03196,0.22134,0.64316,0.30841,0.211,1.26048,13.6628,1.08443,0.000114987,0.000114987,0.000114987
2,16.4098,0.87019,15.0984,0.91292,0.65311,0.68004,0.72099,0.5277,1.14178,4.89826,1.03027,0.00023258,0.00023258,0.00023258
3,21.9965,0.83266,9.12229,0.88528,0.6722,0.95685,0.91757,0.71635,1.03362,2.24254,0.97226,0.000350148,0.000350148,0.000350148
4,27.3594,0.79999,5.92919,0.86407,0.7809,0.89962,0.97508,0.75905,1.04181,1.71772,0.98204,0.000467672,0.000467672,0.000467672
5,32.6972,0.78705,4.40708,0.86488,0.91149,0.90971,0.9258,0.71785,1.07317,1.32499,0.97206,0.000585131,0.000585131,0.000585131
6,37.7883,0.77115,3.34385,0.87177,0.86847,0.97422,0.995,0.80774,1.01725,1.30334,0.97782,0.000587599,0.000587599,0.000587599
7,43.0909,0.75008,2.5872,0.8571,0.88516,0.95401,0.995,0.81137,1.03982,1.09084,0.98194,0.000587423,0.000587423,0.000587423
8,48.1779,0.74948,1.99617,0.86995,0.94211,0.91711,0.995,0.79876,0.9888,1.12815,0.96474,0.000587214,0.000587214,0.000587214
9,53.2839,0.72747,1.79974,0.84587,0.90822,0.991,0.995,0.78868,1.01763,1.1214,0.95615,0.000586974,0.000586974,0.000586974
10,58.3869,0.75382,1.54686,0.84841,0.90687,0.90526,0.995,0.79738,0.97317,1.02523,0.95178,0.000586702,0.000586702,0.000586702
11,64.7321,0.73106,1.37727,0.8538,0.93716,0.97817,0.995,0.80421,0.99344,1.05933,0.96666,0.000586397,0.000586397,0.000586397
12,70.2986,0.73801,1.18975,0.84271,0.89525,0.97929,0.995,0.81659,0.96637,1.04095,0.95449,0.000586061,0.000586061,0.000586061
13,77.5906,0.70947,1.11884,0.82996,0.85246,0.96298,0.97969,0.79221,0.98754,0.95276,0.94288,0.000585693,0.000585693,0.000585693
14,82.7216,0.72282,1.02283,0.84217,0.96988,0.99043,0.995,0.78836,0.96926,0.90701,0.93784,0.000585293,0.000585293,0.000585293
15,87.7336,0.67987,1.00132,0.8255,0.85644,0.95489,0.97969,0.78363,0.96084,1.00784,0.93284,0.000584862,0.000584862,0.000584862
16,92.5677,0.68754,0.94243,0.83095,0.94192,0.98289,0.995,0.78269,1.06561,0.96935,0.97759,0.000584398,0.000584398,0.000584398
17,97.5165,0.69432,0.89399,0.83673,0.94053,0.99577,0.995,0.79639,0.98027,0.96315,0.94185,0.000583903,0.000583903,0.000583903
18,102.474,0.69968,0.8507,0.83544,0.96038,0.97012,0.995,0.78904,1.05158,1.08743,0.97165,0.000583377,0.000583377,0.000583377
19,107.599,0.70363,0.85668,0.83609,0.95485,0.99404,0.995,0.78759,1.02509,0.93364,0.95447,0.000582818,0.000582818,0.000582818
20,112.75,0.65647,0.83461,0.81883,0.9567,0.98508,0.995,0.78307,0.97848,0.97039,0.94858,0.000582229,0.000582229,0.000582229
21,117.914,0.64574,0.77574,0.83098,0.96632,0.99979,0.995,0.80046,0.9764,0.94788,0.94123,0.000581608,0.000581608,0.000581608
22,123.112,0.65471,0.7569,0.841,0.98071,0.99281,0.995,0.81211,0.95964,0.87132,0.94369,0.000580955,0.000580955,0.000580955
23,128.178,0.64119,0.7549,0.83199,0.90203,1,0.995,0.78593,0.98698,0.92584,0.9425,0.000580271,0.000580271,0.000580271
24,133.143,0.63195,0.73004,0.81761,0.95672,0.98561,0.995,0.80148,0.952,0.92768,0.93476,0.000579556,0.000579556,0.000579556
25,138.254,0.6417,0.70465,0.82728,0.97456,0.99719,0.995,0.79643,0.96301,0.86832,0.94401,0.00057881,0.00057881,0.00057881
