epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94614,1.07695,25.6118,0.9977,0.46818,0.41909,0.35325,0.24475,0.93193,9.97499,0.96897,0.00018228,0.00018228,0.00018228
2,10.6371,0.84453,13.0717,0.87427,0.54018,0.59784,0.63198,0.48006,0.84881,3.32907,0.93358,0.000370417,0.000370417,0.000370417
3,15.086,0.83716,8.781,0.86809,0.42966,0.61961,0.58817,0.44068,0.93148,1.47614,0.94998,0.000558464,0.000558464,0.000558464
4,19.4524,0.80817,5.58887,0.86389,0.60458,0.78938,0.79138,0.58671,0.87497,0.94386,0.94599,0.000587677,0.000587677,0.000587677
5,23.749,0.71575,3.92185,0.8334,0.71947,0.97436,0.94028,0.73211,0.80091,0.62376,0.90018,0.000587426,0.000587426,0.000587426
6,28.0089,0.72106,2.85426,0.83118,0.79298,0.96124,0.94712,0.74592,0.80449,0.60741,0.90136,0.000587103,0.000587103,0.000587103
7,32.2763,0.72068,2.12673,0.84616,0.86441,0.98957,0.97587,0.76623,0.78052,0.48767,0.89842,0.000586708,0.000586708,0.000586708
8,36.556,0.68115,1.6581,0.82714,0.91572,0.98872,0.995,0.78333,0.78023,0.46585,0.88867,0.000586242,0.000586242,0.000586242
9,40.7951,0.67679,1.26057,0.80464,0.92512,0.97065,0.995,0.78815,0.77518,0.467,0.88779,0.000585705,0.000585705,0.000585705
10,44.9153,0.6688,1.06853,0.82006,0.94173,0.98051,0.995,0.78668,0.76319,0.52771,0.88479,0.000585096,0.000585096,0.000585096
11,49.031,0.67196,0.89295,0.81515,0.91546,0.98084,0.995,0.79608,0.79555,0.47656,0.89284,0.000584417,0.000584417,0.000584417
12,54.5813,0.67035,0.77359,0.80931,0.96785,0.99336,0.995,0.77995,0.77589,0.44136,0.89133,0.000583666,0.000583666,0.000583666
13,58.8872,0.65645,0.69129,0.81569,0.95836,0.98072,0.995,0.78163,0.76031,0.4429,0.88743,0.000582845,0.000582845,0.000582845
14,63.1502,0.63137,0.58342,0.80548,0.96937,0.91706,0.995,0.79827,0.78056,0.4019,0.89241,0.000581953,0.000581953,0.000581953
15,67.5571,0.63642,0.56342,0.80704,0.91722,0.96799,0.995,0.80056,0.774,0.46995,0.89426,0.00058099,0.00058099,0.00058099
16,71.9294,0.63363,0.5151,0.81174,0.84258,0.94373,0.97274,0.78283,0.77624,0.44848,0.89279,0.000579958,0.000579958,0.000579958
17,76.264,0.63513,0.48997,0.8025,0.93936,0.9509,0.995,0.80563,0.75379,0.43155,0.89025,0.000578856,0.000578856,0.000578856
18,80.6579,0.63795,0.46621,0.79566,0.91973,0.96807,0.995,0.79462,0.82469,0.40781,0.89889,0.000577684,0.000577684,0.000577684
19,84.9679,0.63868,0.45976,0.81244,0.94661,0.97548,0.995,0.80751,0.7652,0.403,0.88907,0.000576443,0.000576443,0.000576443
20,89.2901,0.59898,0.42308,0.79145,0.95608,0.97164,0.995,0.80999,0.78339,0.38111,0.89062,0.000575133,0.000575133,0.000575133
21,93.727,0.60021,0.41451,0.7982,0.95397,0.98469,0.995,0.8109,0.77376,0.38035,0.89879,0.000573755,0.000573755,0.000573755
22,98.2639,0.59972,0.40642,0.78085,0.95835,0.98221,0.99409,0.7965,0.75019,0.3853,0.88864,0.000572308,0.000572308,0.000572308
23,102.542,0.57589,0.38618,0.7874,0.95675,0.99358,0.99499,0.8014,0.76728,0.37052,0.89037,0.000570793,0.000570793,0.000570793
24,106.805,0.58611,0.39358,0.79636,0.97434,0.97115,0.99497,0.78877,0.77228,0.38602,0.89041,0.00056921,0.00056921,0.00056921
25,111.116,0.59413,0.37556,0.79537,0.9749,0.98515,0.99496,0.80732,0.76377,0.38011,0.88385,0.000567561,0.000567561,0.000567561
26,115.327,0.5743,0.35799,0.78664,0.94703,0.97542,0.99018,0.80338,0.8055,0.38568,0.89781,0.000565844,0.000565844,0.000565844
27,119.621,0.59552,0.36609,0.79076,0.96649,0.98256,0.99499,0.80699,0.77137,0.36314,0.89369,0.000564062,0.000564062,0.000564062
28,123.961,0.55105,0.33784,0.78692,0.96712,0.9822,0.995,0.81187,0.76439,0.3571,0.88968,0.000562213,0.000562213,0.000562213
29,128.378,0.54946,0.32888,0.77928,0.97564,0.97896,0.99499,0.82587,0.78267,0.35843,0.89456,0.000560299,0.000560299,0.000560299
30,132.696,0.55946,0.32485,0.77467,0.98123,0.99014,0.995,0.795,0.79968,0.36985,0.8989,0.00055832,0.00055832,0.00055832
